model,demographic_dimension,subgroup,n_samples,base_rate_pos,accuracy,precision,recall,f1_score,false_positive_rate,false_negative_rate,selection_rate
XGBoost (Augmented 100%),Sex,Male,4707,0.4973,0.7293,0.7196,0.7467,0.7329,0.2878,0.2533,0.516
XGBoost (Augmented 100%),Age Group,< 50 yrs,4208,0.3584,0.8044,0.795,0.6121,0.6916,0.0881,0.3879,0.2759
XGBoost (Augmented 100%),Age Group,50–59 yrs,6957,0.5088,0.6974,0.7107,0.6836,0.6969,0.2883,0.3164,0.4894
XGBoost (Augmented 100%),Age Group,>= 60 yrs,2558,0.681,0.7045,0.7379,0.8777,0.8018,0.6654,0.1223,0.81
XGBoost (Augmented 100%),Intersectional,Female (< 50 yrs),2621,0.3415,0.8069,0.7831,0.6011,0.6802,0.0863,0.3989,0.2621
XGBoost (Augmented 100%),Intersectional,Female (50–59 yrs),4711,0.5039,0.6988,0.7197,0.6588,0.6879,0.2606,0.3412,0.4613
XGBoost (Augmented 100%),Intersectional,Female (>= 60 yrs),1684,0.7007,0.712,0.7576,0.8661,0.8082,0.6488,0.1339,0.8011
XGBoost (Augmented 100%),Intersectional,Male (< 50 yrs),1587,0.3863,0.8003,0.8122,0.6281,0.7084,0.0914,0.3719,0.2987
XGBoost (Augmented 100%),Intersectional,Male (50–59 yrs),2246,0.5191,0.6946,0.6948,0.7341,0.7139,0.3481,0.2659,0.5485
XGBoost (Augmented 100%),Intersectional,Male (>= 60 yrs),874,0.643,0.6899,0.7012,0.9021,0.7891,0.6923,0.0979,0.8272
