Model,Best_Accuracy,Best_Precision,Best_Recall,Best_F1,Best_ROC_AUC
XGBoost,0.9016393442622952,0.84375,0.9642857142857144,0.9,0.9523809523809524
Random Forest,0.8852459016393442,0.8181818181818182,0.9642857142857144,0.8852459016393442,0.95508658008658
Logistic Regression,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9512987012987012
SVM,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9437229437229436
