Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Real Training Data,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9518398268398268
Tuned Synthetic Data,0.8524590163934426,0.7878787878787878,0.9285714285714286,0.8524590163934426,0.9193722943722943
Real + Tuned Synthetic Data,0.8688524590163934,0.8333333333333334,0.8928571428571429,0.8620689655172413,0.9399350649350648
