Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Real Data Model,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9518398268398268
Synthetic Data Model,0.5901639344262295,0.6,0.32142857142857145,0.4186046511627907,0.6617965367965367
Real + Synthetic Data Model,0.8688524590163934,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9323593073593074
