Dataset,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Real Data,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9518398268398268
Synthetic Data,0.57,0.5432098765432098,0.4731182795698925,0.5057471264367817,0.5522058084614612
Real + Synthetic Data,0.6053639846743295,0.5789473684210527,0.5454545454545454,0.5617021276595745,0.6872786304604487
