dataset,model,augmentation_ratio,ratio_float,real_train_size,synthetic_train_size,total_train_size,test_size,accuracy,precision,recall,f1_score,roc_auc,brier_score,weighted_score
Large Cardiovascular Cohort,XGBoost,50%,0.5,54889,27444,82333,13723,0.731837,0.771853,0.650221,0.705835,0.802378,0.182439,0.712552
Large Cardiovascular Cohort,Logistic Regression,75%,0.75,54889,41166,96055,13723,0.705968,0.786323,0.557143,0.652185,0.789042,0.195553,0.655225
Large Cardiovascular Cohort,Random Forest,75%,0.75,54889,41166,96055,13723,0.719959,0.784295,0.598675,0.679028,0.79894,0.187709,0.68286
Large Cardiovascular Cohort,SVM,75%,0.75,54889,41166,96055,13723,0.708519,0.789659,0.560088,0.655351,0.790116,0.194401,0.657675
Large Cardiovascular Cohort,XGBoost,75%,0.75,54889,41166,96055,13723,0.727246,0.77298,0.635346,0.697438,0.800716,0.184099,0.703585
Large Cardiovascular Cohort,Logistic Regression,100%,1.0,54889,54889,109778,13723,0.699701,0.792718,0.532253,0.636884,0.786966,0.198346,0.640056
Large Cardiovascular Cohort,Random Forest,100%,1.0,54889,54889,109778,13723,0.717044,0.784832,0.589838,0.673505,0.796625,0.19,0.676974
Large Cardiovascular Cohort,SVM,100%,1.0,54889,54889,109778,13723,0.705749,0.78243,0.561414,0.653747,0.781637,0.196833,0.655181
Large Cardiovascular Cohort,XGBoost,100%,1.0,54889,54889,109778,13723,0.722364,0.771799,0.623122,0.689537,0.799357,0.185292,0.695917
Large Cardiovascular Cohort,Logistic Regression,150%,1.5,54889,82333,137222,13723,0.68316,0.792105,0.487629,0.603646,0.783213,0.202694,0.611109
Large Cardiovascular Cohort,Random Forest,150%,1.5,54889,82333,137222,13723,0.712381,0.787928,0.572901,0.663426,0.79189,0.193923,0.665755
Large Cardiovascular Cohort,SVM,150%,1.5,54889,82333,137222,13723,0.681702,0.811953,0.464212,0.590705,0.789496,0.204356,0.599745
Large Cardiovascular Cohort,XGBoost,150%,1.5,54889,82333,137222,13723,0.717554,0.769615,0.612518,0.682139,0.796815,0.187542,0.688694
Large Cardiovascular Cohort,Logistic Regression,200%,2.0,54889,109778,164667,13723,0.674707,0.79443,0.46215,0.584358,0.780147,0.205898,0.594211
Large Cardiovascular Cohort,Random Forest,200%,2.0,54889,109778,164667,13723,0.70932,0.785875,0.56701,0.658739,0.787659,0.196631,0.660723
Large Cardiovascular Cohort,SVM,200%,2.0,54889,109778,164667,13723,0.669606,0.786149,0.456406,0.577525,0.773772,0.207422,0.587952
Large Cardiovascular Cohort,XGBoost,200%,2.0,54889,109778,164667,13723,0.715878,0.774236,0.601031,0.676727,0.793557,0.189796,0.681497
