augmentation_ratio,real_train_size,synthetic_train_size,total_train_size,accuracy,precision,recall,f1_score,roc_auc,training_time_seconds
0,54889,0,54889,0.715951,0.71929,0.698527,0.708757,0.775761,6.3
25,54889,13722,68611,0.711215,0.708021,0.708542,0.708281,0.77303,7.8
50,54889,27444,82333,0.71034,0.704193,0.714875,0.709494,0.772732,8.4
75,54889,41166,96055,0.711069,0.702509,0.721649,0.711951,0.772819,11.2
100,54889,54889,109778,0.708591,0.697803,0.725037,0.711159,0.769971,12.7
150,54889,82333,137222,0.701669,0.688373,0.725479,0.706439,0.767064,15.2
200,54889,109778,164667,0.698317,0.682306,0.730339,0.705506,0.763221,30.1
