model,recall_mean,recall_std,recall_<lambda_0>,f1_score_mean,f1_score_std,f1_score_<lambda_0>,roc_auc_mean,roc_auc_std,roc_auc_<lambda_0>,accuracy_mean,accuracy_std,accuracy_<lambda_0>
Logistic Regression,0.6573448285714286,0.11145351174091153,0.445213,0.6856739714285714,0.05467745245500879,0.185276,0.7785655142857143,0.015173688731739889,0.06118199999999996,0.7082228857142857,0.024384196972353937,0.084457
Random Forest,0.6873216857142858,0.05807181650679028,0.23166399999999998,0.7121913142857142,0.02323296355051363,0.08568000000000009,0.7942758285714285,0.0072219098072369954,0.027330999999999994,0.7266195142857143,0.009963408111601162,0.039568999999999965
SVM,0.6554554,0.12047962667756199,0.44226800000000005,0.6783627714285714,0.05770796904194625,0.187307,0.7717642285714286,0.02029509392625788,0.07887100000000002,0.6996075428571428,0.02896038946291464,0.10187299999999999
XGBoost,0.6963812285714285,0.0370942786575327,0.13902800000000004,0.7177316857142857,0.014031794819940399,0.04649700000000001,0.795962142857143,0.005961672293728937,0.022023999999999933,0.7295510000000001,0.0064152935607490495,0.02353700000000003
